Titel;Produzent;Gesamtherstellungskosten (EUR);Fernsehfonds Austria (EUR);Förderinstitutionen;Ko-Produzenten;Fernsehsender;Länge (Min.);Jahr;Beschreibung (de);Beschreibung (en)
Die Alpenklinik V ­ Liebe heilt Wunden;MONA Film Produktion GmbH;1736072;213872;Land Salzburg;;ARD,ORF;90;2009;"Berg- und Talfahrt der Gefühle in der Alpenklinik: Eine hochschwangere Frau will einem abgestürzten Paragleiter helfen und verletzt sich dabei schwer. Dr. Daniel Guth kann nur ihr Baby retten. Betroffen vom Schicksal des Säuglings, sucht Daniel mit seiner Frau und Klinikmanagerin Miriam nach den Angehörigen. Oberärztin Linda verliebt sich unterdessen in den abgestürzten Paragleiter, einen charmanten Draufgänger. Maria, die Freundin von Daniels Adoptivsohn Frederik, wird mit schweren Bauchkrämpfen in die Alpenklinik eingeliefert. Die Diagnose bringt ein Familiengeheimnis ans Licht.";"Rollercoaster of emotions in the Alpenklinik hospital: a heavily pregnant woman wants to help a paraglider who has crashed and seriously injures herself in the process. Dr. Daniel Guth can only save her baby. Dismayed by the newborn's fate, Daniel and his wife and clinic manager Miriam try to find its relatives. Meanwhile, Linda, the senior doctor, falls in love with the paraglider, a charming daredevil. Maria, the girlfriend of Daniel's adopted son Frederik, is admitted to the Alpenklinik hospital with severe abdominal spasms. The diagnosis brings a family secret out into the open."
Die Alpenklinik VI ­ Notfall für Dr. Guth;MONA Film Produktion GmbH;1726659;256659;Land Salzburg;;ARD,ORF;90;2010;"Dr. Daniel Guth hat wieder alle Hände voll zu tun. Der dramatische Fall eines Musikers, dessen Hand bei einem Arbeitsunfall gequetscht wurde, beschäftigt ihn ebenso wie die seltsamen Aussetzer seiner Oberschwester Hertha. Verschweigt sie ihm etwas? Daniels etwas schrulliger Patient Wilhelm findet in Konstanze, die ihn bei einer Höhlenwanderung aus dem Wasser gefischt hat, nach langem Hin und Her eine späte Liebe, während Daniels ehrgeizige Oberärztin Linda von dem hinterhältigen Bürgermeister Rosner aufgehetzt wird, um Daniel zu schaden. Die Fürsorge um den zweijährigen Theo lässt Daniel und Miriam an ein eigenes Kind denken.";"Dr. Daniel Guth has his hands full again. He is kept busy, both by the dramatic case of a musician whose hand is crushed at work, and by his head nurse Hertha, who is experiencing strange lapses. Is she keeping something from him? Wilhelm, another of Daniel's patients and a somewhat crotchety fellow, rather reluctantly finds romance late in life after Konstanze pulls him out of the water during a caving expedition. Meanwhile, Mayor Rosner connives to do harm to Daniel by setting Linda, Daniel's ambitious assistant, at odds with him. Taking care of two-year-old Theo starts Daniel and Miriam thinking about having a child of their own."
Die Auslöschung;MONA Film Produktion GmbH;2277374;611195;FFW;;SWR,ORF;90;2012;"Als Judith Fuhrmann den verwitweten Kunsthistoriker Ernst Lemden kennenlernt, erobert der scharfsinnige Intellektuelle umgehend ihr Herz und es entsteht eine tiefe Liebe. Alsbald ziehen Judith und Ernst zusammen. Im Laufe der Zeit mehren sich bei Ernst allerdings die Anzeichen einer Demenzerkrankung. Er vergisst Alltäglichkeiten und verliert schließlich seine rhetorische Stärke und seinen Intellekt, erst kaum wahrnehmbar, später massiv. Aus einer lebendigen Liebe wird eine einseitige Pflegesituation. Judith hat die Verantwortung über einen Mann, der nicht mehr in der Lage ist sich auszutauschen und seine Vergangenheit sowie seine Familie vergessen hat. Trotzdem besteht eine Verbindung zwischen Judith und Ernst, die bis zum Ende hält.";"Judith Fuhrmann meets the widowed art historian Ernst Lemden, and soon she is charmed by the sharp-witted intellectual; a deep romance ensues. Before too long Judith moves in with Ernst. Yet with the passing of time Ernst begins to show initial signs of dementia. Subtly at first, he forgets everyday things, then, quite plainly, his rhetorical abilities and his intellect all but leave him. A thriving bond of love becomes a one-sided care relationship. Judith is responsible for a man who is no longer able to communicate, who has forgotten both his past and his family. And yet, there is still a tie that binds Judith and Ernst; one that remains intact until the very end."
Die Frau in mir;FILM27 Multimedia Produktions GmbH;1754131;345000;FFW;Ninety-Minute Film GmbH;SAT.1,Puls 4;90;2012;"Dem gutaussehenden Macho Georg liegen die Frauen zu Füßen. Allerdings ist er seit der Trennung von Lisa nicht bereit, sich auf eine ernsthafte Beziehung einzulassen. Zu seinem Lebensinhalt zählt, den ersehnten Posten als Nachfolger des Vertriebsleiters einer Sektkellerei zu bekommen. Doch dann tritt die resolute Wally in Georgs Leben und schnappt ihm seine Beförderung vor der Nase weg. Wally kennt die intimsten Details aus Georgs Leben und behauptet, dessen zu Fleisch gewordene weibliche, emotionale Seite zu sein. Während sich Georg noch immer auf der Erfolgsseite wähnt, gewinnt Wally bei Freunden und Kollegen rasch Sympathien. Schnell ist klar: Zwei sind einer zu viel. Und Wally ist nicht bereit, ihre Existenz kampflos wieder aufzugeben.";"Georg is a good-looking charmer who has women laying down in front of his feet. Yet since separating from Lisa he is not ready to get involved in a serious relationship. His main goal in life is to get his dream job: to succeed the sales head of a champagne winery. But then Wally appears on the scene, a resolute woman who snatches Georg's promotion right from under his nose. Wally, who knows highly intimate details of Georg's life, claims to be the incarnation of the emotional female side of his personality. While Georg still thinks himself to be on the road to success, Wally quickly becomes popular among friends and co-workers. Soon it becomes clear that one of them must go. But Wally is not ready to give up her existence without a struggle."
Die Frau mit einem Schuh;Lotus-Film Gesellschaft m.b.H.;1667175;505749;Land Niederösterreich;;ORF;90;2013;"In einem Schotterteich schwimmt blondes Haar: keine Perücke, ein echter Skalp. Und in einer Hühnerfarm hacken die Hendln an einer abgetrennten Hand herum. Dienststellenleiterin Franzi und ihr Kollege Michael sehen sich mit einem Puzzle von Leichenteilen konfrontiert. Die Zentrale in Wiener Neustadt stellt fest, dass die Teile von derselben Person stammen ­ aber wer ist sie? Seit einem Ausbruch aus der nahegelegenen Vollzugsanstalt vor einem Jahr ist in der Gegend nichts passiert. Dann taucht der sonderbare Mechaniker Gerry mit einem blauen Kombi auf, der beim Ausbruch eine Rolle spielte. Ein Zufall?";"Blonde hair is found floating on a quarry pond ­ not a wig but a real scalp. And at a local farm the chickens are seen pecking at a severed hand. Franzi, the local police chief, and her colleague Michael face a puzzle ­ the scattered parts of a corpse. The central office at Wiener Neustadt identifies the parts as all belonging to the same person: but who is she? Since an escape from the nearby prison one year ago, there have been no incidents in the area. Yet then Gerry appears, a mechanic with a strange manner whose blue estate car was involved in the prison break-out. A coincidence?"
Die Fremde und das Dorf;FILM27 Multimedia Produktions GmbH;1834832;358992;CineStyria;;ZDF,ORF;90;2013;"Nach einer Erdbebenkatastrophe in Italien laden die Bewohner eines Dorfes traumatisierte italienische Kinder zur Sommerfrische in die Steiermark. Rosaria, eine italienische Lehrerin, begleitet die Kinder. In der Steiermark verliebt sie sich in Josef, der mit seinem Vater einen kleinen Hof bewirtschaftet, und beschließt, bei ihm zu bleiben. Ein dunkles Familiengeheimnis, ungelöste Konflikte zwischen Josef und seinem Bruder Franz und ein tragischer Unfall werfen dem Liebespaar aber Steine in den Weg.";"In the wake of an earthquake in Italy, the people of a small village in Styria invite trauma-struck Italian children to spend summer holidays with them. Rosaria, a teacher from Italy, accompanies the children. Once in Styria, she falls in love with Josef, who works for his father on the small family farm, and decides she will stay with him. Yet troubles: a dark family secret, unsettled conflicts between Josef and his brother Franz, and a tragic accident stand in way of the couple's happiness."
Die Hebamme ­ Auf Leben und Tod;SK-Film- und Fernsehproduktionsgesellschaft m.b.H.;2906177;380000;Cine Tirol,FFF Bayern;Roxy Film GmbH & Co KG;ORF,ZDF/3sat;90;2009;"Ein Tiroler Bergdorf um 1813: Die Hebamme Rosa Kölbl flieht mit ihrer Schwester, die ein uneheliches Kind erwartet, in die Stadt, um in der Gebäranstalt des Medizinalrates Jakob Aigner zu arbeiten. Als sie feststellt, dass die Schwangeren dort häufig dem Kindbettfieber zum Opfer fallen und auch von den Ärzten für medizinische Experimente missbraucht werden, gerät Rosa in einen Konflikt mit den Interessen der männlich dominierten Geburtsmedizin. Sie kämpft für die Rechte der Schwangeren, scheitert aber trotz Unterstützung des Arztes Gennaro Kauner am Widerstand rückständiger Ärzte und Kleriker.";"A Tyrolean mountain village around 1813: the midwife Rosa Kölbl flees with her sister, who is expecting an illegitimate child. Their destination is a town where she will work in the maternity clinic of the physician Jakob Aigner. As she finds out that the expectant women there often die of childbed fever and are also misused for experiments by the doctors, Rosa comes into conflict with the male-dominated field of gynaecology. She fights for the rights of the pregnant women, but in spite of the support of the doctor Gennaro Kauner her plans are foiled by the resistance of conservative-minded doctors and the clergy."
Die Holzbaronin;Graf Filmproduktion GmbH;6347399;650000;MFG;Ziegler Film GmbH & CO KG;ZDF;2x90;2011;"Im Jahr 1953 hat Elly Seitz endlich ihr Ziel erreicht und ist zur Vorsitzenden des Aufsichtsrats der Seitz AG, einem holzverarbeitenden Unternehmen, gewählt worden. Viele Jahre hatte sie darauf hingearbeitet. Doch das Glück währt nicht lange. Noch während der Ernennungssitzung nimmt Kriminalkommissar Fröbe sie fest. Ein anonymer Anrufer hat Elly beschuldigt, ihren Mann im Jahr 1944 ermordet zu haben. Ihr eigener Sohn Hans bestätigt als Zeuge diese Anklage. Fröbe will ein Geständnis von Elly erzwingen. Während seiner bohrenden Befragung blickt Elly zurück auf ihr bisheriges Leben, das geprägt ist von einer großen Liebe, schrecklichen Verlusten, dem Kampf für den traditionsreichen Familienbetrieb und der Anerkennung in ihrer Familie.";"It is 1953: Elly Seitz finally reaches her goal and is elected chairwoman of the board at Seitz AG, a wood manufacturing corporation. For years she has worked hard to get this far. Her triumph is only short-lived, however. Inspector Froebe appears at the nomination meeting to arrest her. An anonymous caller has alleged that Elly murdered her husband back in 1944. Hans, Elly's own son, gives evidence confirming the charge. Intent on forcing Elly's confession, Froebe puts her through gruelling questioning, during which she recalls the main events of her past life: her great romance, terrible losses, the struggle for control of the tradition-bound family business and finally winning recognition by the family."
Die Hüttenwirtin;MONA Film Produktion GmbH;1583503;133503;Cine Tirol;;Ard,ORF;90;2009;"Die erfolgreiche Werbemanagerin Sandra lebt seit geraumer Zeit in Berlin. Als sie von ihrem Vater eine Tiroler Berghütte erbt, reist sie erstmals wieder in ihre alte Heimat, um die traditionsreiche Ausflugsgaststätte zu verkaufen. Wider Erwarten erkennt sie dabei ihre wahre Bestimmung und eröffnet den ""Hüttenwirt"" neu. Der skrupellose Bürgermeister Xaver Riemer, der die Hütte seit Jahren selbst übernehmen will, setzt alles daran, um ihre Pläne zu durchkreuzen. Unterstützung erhält Sandra ausgerechnet von Xavers Sohn Markus, ihrer großen Jugendliebe. Schon bald werden alte Gefühle neu entflammt.";"The successful advertising manager Sandra has lived in Berlin for quite a while. When she inherits a mountain hut and restaurant in Tyrol from her father, she travels to her old homeland for the first time to sell the property with a long tradition. Contrary to her expectations she discovers her true vocation there and reopens the ""Hüttenwirt"" restaurant. However, the unscrupulous mayor Xaver Riemer, who has wanted to take over the hut himself for years now, does all he can to thwart her plans. Sandra receives support from a highly unexpected source: Xaver's son Markus, the sweetheart of her youth. Old passions are soon reignited."
Die kleine Lady;Lotus-Film Gesellschaft m.b.H.;3620743;700000;FFF Bayern,Media Plus,Land Niederösterreich;Yellow Bird Pictures GmbH;ZDF,ORF,SF,TSR;90;2011;"Emily, ein Straßenmädchen im New York des späten 19. Jahrhunderts, lebt mit ihrer verwitweten Mutter in einer ärmlichen Gegend. Sie ist oft im Laden ihrer Freundin Dolores, die wegen ihrer Reden für die Rechte der Frauen auch schon mal im Gefängnis landet. Wie sich herausstellt, ist Emily die einzige Erbin der Gräfin von Liebenfels. Ihrem Sohn hat die Adelige nie seine unstandesgemäße Hochzeit verziehen. Doch nun, da auch er verstorben ist, holt die Gräfin ihre Enkelin nach Österreich, um sie zur würdigen Aristokratin zu erziehen. Mit ihrer aufgeweckten Art gewinnt Emily die Gräfin für sich. Als eine Betrügerin auftaucht und behauptet, ihr Sohn sei der rechtmäßige Erbe, kommt schließlich Dolores nach Österreich, um ihrer Freundin zu helfen.";"Emily, a child of the streets of late 19th-century New York, lives with her widowed mother in an impoverished part of town. She often visits the shop of her friend Dolores who, because of speaking out for women's rights in public, has been to prison more than once. It comes to light that Emily is the sole heir to the Countess of Liebenfels, a noblewoman who had never forgiven her son for marrying below his station. Yet now, with her son dead, the Countess fetches her granddaughter to Austria to make a dignified aristocrat out of her. Emily's vivacious manner soon wins the Countess' favour. When an impostor appears, claiming to be the rightful heir to the Countess' son, Dolores makes the journey to Austria to help her friend."
Die Landärztin VII ­ Um Leben und Tod;Wega-Filmproduktionsgesellschaft m.b.H.;1733877;250000;Land Oberösterreich;Ziegler Film GmBH & CO KG;ARD;88;2009;"Mysteriöse Explosionen in den Kalkalpen, ein tragischer Unfall auf dem Bergmeier-Hof und Sorgen um die Zukunft ihres Pflegesohns Bastian halten die Landärztin Dr. Johanna Lohmann ganz schön auf Trab. Bei einer Bergtour wird Daniel durch einen Steinschlag verletzt. Hat die leidenschaftliche Fotografin Ines Meissner mit der illegalen Sprengung, die Ursache für den Steinschlag war, zu tun? Nebenbei muss Johanna auch ihr Gefühlsleben in den Griff bekommen. Ist der attraktive Daniel Winterberg tatsächlich so ein unzuverlässiger Draufgänger? Wem soll sie vertrauen ­ der Vernunft oder ihrem Herzen?";"Mysterious explosions in the Limestone Alps, a tragic accident at Bergmeier farm, and worries about the future of her foster son Bastian keep the country doctor Johanna Lohmann more than occupied. One day Daniel is injured by rock fall while hiking in the mountains. Did the passionate photographer Ines Meissner have anything to do with the illegal blasting which caused the rock fall? Johanna has to get a grip on her emotional life, too. Is the attractive Daniel Winterberg really such an unreliable adventurer? What should she trust ­ her reason or her feelings?"
Die Landärztin VIII ­ Schicksalswege;Wega-Filmproduktionsgesellschaft m.b.H.;1710520;300000;Land Oberösterreich;Ziegler Film GmbH & CO KG;ARD;88;2009;"Dr. Johanna Lohmann ist entsetzt: Eine Frau hat ihr Neugeborenes allein im Wald zurückgelassen. Als Johanna in Hanni, der jungen Tochter des alleinerziehenden Bauern Georg Klinger, die Mutter des Babys findet, stößt sie auf eine verängstigte und überforderte Frau. Auch im Privatleben hat Johanna Sorgen. Obwohl sie das Zusammensein mit ihrem Freund genießt und Daniel mit seiner Vaterrolle immer besser zurechtkommt, ist sie enttäuscht, dass er seine Problem e mit sich selbst ausmachen will. Seine finanziellen Schwierigkeiten sind so groß, dass die Existenz des Reiterhofs auf dem Spiel steht.";"Dr. Johanna Lohmann is appalled: a woman has left her newly-born baby in the forest. Johanna finds the mother of the child ­ it is Hanni, the young daughter of the farmer and single parent Georg Klinger. Hanni is afraid and unable to cope with the situation. Johanna also has her worries in her private life. Although she enjoys being with her partner, and Daniel is managing increasingly well in his role as a father, she is disappointed that he wants to solve his problems alone. His financial difficulties are so great that the future of the horse farm is at stake."
Die Landärztin IX ­ Entscheidung des Herzens;Wega-Filmproduktionsgesellschaft m.b.H.;1643036;309731;Land Oberösterreich;ZIEGLER FILM GmbH & Co KG;ARD;88;2011;"Endlich hat sich Dr. Johanna Lohmann entschlossen, mit ihrem Freund Daniel Winterberg zusammenzuziehen. Kurz danach lernt sie den attraktiven Journalisten Alexander Richter kennen, dem sie zu Hilfe eilt, als er beim Drachenfliegen abstürzt. Als Alexander durch Johanna von dem Ärztenotstand auf dem Land erfährt, bietet er spontan an, eine Reportage darüber zu machen. Daniel ist dieser sympathische Mann, der Johanna nun in ihrem Arbeitsalltag begleitet, ein Dorn im Auge. Was er nicht weiß, dass Johanna etwas herausgefunden hat: Alexander leidet an einer lebensgefährlichen Krankheit und ist in Wahrheit zum Sterben in seine Heimat gekommen. Nur eine Knochenmarktransplantation könnte ihm helfen. Johanna setzt nun alle Hebel in Bewegung.";"Dr Johanna Lohmann has finally decided to move in with her partner, Daniel Winterberg. Just then she meets Alexander Richter, a good-looking journalist whom she helps after he crashes his hang glider. Hearing from Johanna of the shortage of country doctors, Alexander spontaneously offers to report on the problem. The likeable journalist who now follows Johanna through her daily work is a source of irritation for Daniel. Little does he know of Johanna's discovery: Alexander is suffering from a terminal illness and has in fact returned home to die. Only a bone marrow transplant can save him. Johanna takes up a frantic race against time."
Die Landärztin X ­ Vergissmeinnicht;Wega-Filmproduktionsgesellschaft m.b.H;1644525;326912;Land Oberösterreich;Ziegler Film GmbH & CO KG;ARD;88;2012;"Landärztin Johanna steckt mitten in den Umzugsvorbereitungen. Sie hat sich endlich dazu entschieden, zu ihrem Freund Daniel auf den Reiterhof zu ziehen. Obwohl sie auch in der Praxis viel zu tun hat, freut sie sich riesig über den Besuch ihrer Freundin Karen. Das Wiedersehen gestaltet sich jedoch anders als erwartet. Karen benimmt sich seltsam und ist leicht reizbar. Als sie in einer Notsituation einen Patienten verarztet, unterläuft ihr ein schwerwiegender Fehler. Sie verschreibt ihm ein falsches Medikament, das eine lebensbedrohliche Wechselwirkung entfaltet. Johanna kann zwar das Schlimmste noch verhindern, doch der Fehler ihrer erfahrenen Kollegin macht sie stutzig. Johanna hat den Verdacht, dass mit der Freundin etwas nicht stimmt.";"The country doctor Johanna is busy moving house. She has finally decided to move in with Daniel, her boyfriend who lives on a horse ranch. Although very busy with patients, she is looking forward to the visit of her friend Karen. Yet their reunion is not as expected. Karen behaves strangely and is easily irritated. Treating a patient in an emergency, Karen makes a serious mistake. She prescribes the wrong drug, which leads to life-threatening side-effects. While Johanna is able to prevent a fatal outcome, she is puzzled by her colleague's error. Johanna suspects that something is not quite right with her friend."
Die lange Welle hinterm Kiel;MONA Film Produktion GmbH;2944174;576229;;;ARD,ORF;90;2010;"In dem Drama, basierend auf dem gleichnamigen Roman von Pavel Kohout, geht es um zwei Familien, die im Zweiten Weltkrieg in politisch gegensätzlichen Lagern standen und Todfeinde wurden. Nach dem Krieg begegnen sie einander auf dem Kreuzfahrtschiff MS Harmonia wieder ­ an einem Ort, wo keiner dem anderen und damit auch seiner Vergangenheit lange Zeit aus dem Weg gehen kann. Die Geschichte erzählt von Liebe und Historie, fragt nach Schuld und Sühne sowie nach Versöhnung und Vergebung. Und eines wird klar: Die Wahrheit hat viele Gesichter.";"Based on the novel of the same name by Pavel Kohout, the drama centres around two families from opposing political camps in WWII who become mortal enemies. They meet again after the war, on the cruise ship MS Harmonia ­ where, for some time, neither family can avoid the other, or facing the past. The tale of love and history is a study in guilt and atonement as well as reconciliation and forgiveness. And one thing becomes clear: the truth has many faces."
Die Liebe kommt mit dem Christkind;MONA Film Produktion GmbH;1843106;368621;Land Salzburg;;ARD,ORF;88;2010;"Die Liebe kommt mit dem Christkind zu einer Zeit, als für den alleinerziehenden und völlig verschuldeten Martin die Welt über ihn einzubrechen scheint. Gemeinsam mit seiner Frau wollte er ein Haus bauen, hat Kredite aufgenommen, doch nun steht die Baustelle still. Martins Frau ist plötzlich und unerwartet gestorben. Als er auch noch seinen Job verliert, droht ihm das Jugendamt seine kleine Tochter Katrin wegzunehmen. Trotz aller Widerstände schafft er es, sie zu behalten und findet letztendlich sogar eine neue Liebe und Familie.";"Loves comes at Christmas ­ at a time when the world seems to be falling apart for Martin, a hopelessly indebted single parent. He and his wife, wanting to build their own home, took out a mortgage, but construction stopped. Then Martin's wife dies suddenly and unexpectedly ­ and, to make matters worse, he loses his job, and the child welfare office threatens to take custody of his young daughter Katrin. In the face of all opposition Martin succeeds in keeping his daughter and in the end finds new love and a new family."
Die Rache der Wanderhure;Aichholzer Filmproduktion GmbH;5675051;700000;FFF Bayern,Filmboard Berlin-Brandenburg,Media Plus,Land Salzburg;TV 60 Filmproduktion GmbH,Wilma Film s.r.o.;Sat.1,ORF;120;2011;"Jahre sind vergangen seit die Kaufmannstochter Marie Opfer einer Intrige wurde, sich als Wanderhure durchschlagen musste und schließlich ihre Ehre wieder herstellen konnte. Mittlerweile ist Marie mit ihrer Jugendliebe Michel verheiratet und führt als Kastellanin der Burg Hohenstein ein glückliches Leben. Ein Kriegszug des Lehensherrn König Sigismund beendet das Glück: Michel muss Gefolgschaft leisten. Wenig später überbringt man Marie die Nachricht, dass er gefallen ist. Die junge Frau spürt, dass hier irgendetwas nicht mit rechten Dingen zugeht und will ihren Michel finden. Sie kämpft sich ins Kriegsgebiet vor. Doch ein grausamer Feind ist ihr auf den Fersen: der Großinquisitor Janus Supertur, der ein persönliches Interesse an Marie hat.";"Long ago, Marie, a merchant's daughter, became the victim of a plot that forced her to eke out a living as a travelling whore, but she has since succeeded in regaining her honour. In the meantime she has married her early love Michel and leads a happy life as castellan of Hohenstein Castle. Her happiness comes to an end when their feudal lord King Sigismund goes to war and Michel must join the ranks. A short time later, news of his death in battle reaches Marie. Suspecting foul play, the young woman resolves to find her husband Michel. She struggles to get through to the place of battle. Yet she is pursued by a cruel adversary: Grand Inquisitor Janus Supertur has a curious personal interest in her."
Die Schatten, die dich holen;Dor Film-Produktionsgesellschaft m.b.H.;1650685;320000;;;SWR,ORF;90;2009;"Mit 38 Jahren steht Vera vor der Krönung ihrer Karriere: die Ehrung zur ""Fondsmanagerin des Jahres"". Mit einer exklusiven Party wird Veras Nominierung gefeiert. Doch nicht alle Anwesenden sind geladene Gäste. Kurt, der wegen einer Zeugenaussage Lolas im Gefängnis saß, während sie als ""Vera"" in einem neuen Leben erblühte, will seinen Anteil kassieren. Was geschieht, wenn man plötzlich von seinem ""alten"" Leben eingeholt wird und die wunderbar aufgebaute Existenz droht wie ein Kartenhaus in sich zusammenzufallen?";"At the age of 38, Vera's career is reaching a climax: she is to be awarded the title of ""Fund Manager of the Year"". Vera's nomination is being celebrated with an extravagant party. But not all of those present are invited guests. Kurt, who went to prison due to Lola's testimony while she blossomed in her new life as ""Vera"", wants to receive his share. What happens when someone's old life catches up with them and their wonderfully constructed existence is in danger of collapsing like a house of cards?"
Die Schöne und das Biest;Metafilm GmbH;1693340;300000;Land Niederösterreich,Land Salzburg;PROVOBIS Gesellschaft für Film und Fernsehen mbH,Moviepool GmbH;ZDF;88;2012;"Wirt Hugo steht kurz vor dem Ruin. Längst kann er die Pacht an Ritter Bertold nicht mehr bezahlen. Trost findet er bei seiner klugen Tochter Elsa, die auch von Ritter Bertold umworben wird. Als Hugo bei dem Versuch, Geld aufzutreiben, in einer geheimnisvollen Burg hinter den Nebeln des Waldes Unterschlupf findet, nimmt das Schicksal seinen Lauf. Unbedacht pflückt er im Schlossgarten eine Rose für Elsa. Plötzlich steht ein zähnefletschendes Ungeheuer, halb Mensch, halb Tier, vor Hugo und fordert sein Leben als Sühne. Hugo rettet seinen Kopf, muss dem Biest aber das erste Lebewesen, dem er zuhause begegnet, ausliefern. Zu allem Unglück läuft ihm die geliebte Tochter als Erste über den Weg und muss nun die Schuld des Vaters begleichen.";"Hugo, an innkeeper, is on the brink of ruin. He has been unable to pay his rent to the knight Bertold for some time. His only solace is his daughter Elsa, whom Bertold has been courting. Fate runs its course when Hugo, on a journey to raise money, seeks refuge in a mysterious castle beyond the mists of the f orest. In the castle garden he unthinkingly picks a rose for Elsa. Suddenly a fierce monster, half-man and half-beast, appears before him to demand that he pay with his life. Hugo saves himself, but only by promising to deliver the first creature he encounters on his return home to the beast. To his misfortune, his beloved daughter is the first to meet him, and thus she must pay her father's debt."
Die Seelen im Feuer;Eclypse Filmpartner Film- und Fernsehproduktions GmbH;4001500;600000;FFF Bayern,Land Niederösterreich,MEDIA;Film-Line-Productions Filmproduktions GmbH;ZDF;105;2013;"Bamberg um 1630: Cornelius eilt von seinen medizinischen Forschungen im fortschrittlichen Wien nach Bamberg zu seinem sterbenden Vater. Dort trifft er auf seine Jugendliebe Johanna. Er ist fasziniert von der klugen Frau, die die Apotheke ihres Vaters führt ­ für eine Frau zu dieser Zeit kein ungefährliches Unterfangen. Cornelius ist das rückständige Bamberg zuwider. Er will die Stadt verlassen. Da verpflichtet der Fürstbischof von Dornheim den fähigen Arzt in seine Dienste. Er und Johanna geraten in einen Bannkreis aus Denunziation, Verhaftung und Hinrichtung.";"Bamberg, Germany around 1630: from the progressive city of Vienna where he has doing medical research, Cornelius rushes here to the side of his dying father. Here he meets up again with his early love Johanna. He is fascinated by the clever woman who runs his father's apothecary shop ­ in that age a risky profession for a woman. Cornelius detests the backward town of Bamberg and wants to leave. But the Prince-Bishop of Dornheim forces the capable surgeon to enter his service. Cornelius and Johanna are swept up in a trajectory of events leading from denunciation and arrest to the stake."
Die Spionin;SK-Film und Fernsehproduktionsgesellschaft m.b.H.;4249975;600000;nordmedia;Áspekt Telefilm-Produktion Berlin GmbH,MARS Motion Pictures Kft.,Jumping Horse Film GmbH;ARD;110;2011;"In einem Nachtclub in Paris wirbt Hilmar Dierks 1938 die Prostituierte Vera von Schalburg als Spionin für die Deutsche Abwehr an. Vera hat einen Sohn, den sie versorgen muss. Auch aus Abenteuerlust nimmt sie das Angebot an. In Hamburg bewährt sie sich in der Ausbildung, sie beginnt eine leidenschaftliche Affäre mit Dierks ­ und sie begreift, für welche Ideologie sie arbeitet. Schließlich will sie aussteigen. Doch es ist zu spät. Man erpresst sie mit ihrem Sohn. Vera wird nach England gesendet und versorgt die Abwehr mit Militär-Geheimnissen. Doch sie wird ertappt und vor ein englisches Kriegsgericht gestellt. Es gibt nur eine Möglichkeit, wie sie ihr Leben retten kann, doch die würde bedeuten, dass sie ihre Liebe verraten muss.";"A Paris nightclub in 1938: Hilmar Dierks solicits Vera von Schalburg, a prostitute, to work for German counter-espionage. Out of the need to provide for her son, and in expectation of adventure, she accepts the proposition. As she successfully completes training in Hamburg, she starts a passionate affair with Dierks ­ while the nature of the ideology she serves begins to dawn on her. Ultimately she decides to get out. But it is too late. The Nazis blackmail her with her son and send her to England, where she supplies German counterespionage with military secrets. Yet she is caught and brought before a British war tribunal. She has only one chance to save her life, but that would mean betraying her love."
Die Tänzerin;EPO ­ Filmproduktionsgesellschaft m.b.H.;1886467;370000;FFW;Wiedemann & Berg Television GmbH & Co.KG;Sat.1,ORF;90;2010;"Anna ist mit Leib und Seele Tänzerin. Gemeinsam mit ihrer besten Freundin Milena trainiert sie Tag und Nacht für ihren großen Traum: Mitglied im Corps de Ballet zu werden. Ihr Vater steht ihren Plänen allerdings eher skeptisch gegenüber: Er will seine Tochter vor dem ungeheuren Druck schützen, der schon das Leben ihrer Mutter ­ ebenfalls eine begnadete Tänzerin ­ zerstörte. Und tatsächlich wird der Tag des Vortanzens zu Annas großem Albtraum. Bald schon stellt sie sich die entscheidende Frage: Was, wenn der Preis für den Erfolg zu hoch ist?";"Anna is a dancer through and through. She and her best friend Milena practise around the clock to realise their big dream: to become members of the Corps de Ballet. Yet her father is somewhat sceptical of her plans; he wishes to protect his daughter from the tremendous pressure that destroyed the life of her mother, who like Anna had been a talented dancer. The day of Anna's audition does, in fact, prove to be her worst nightmare. Soon afterwards she has to face the all-important question: what if the price of success is too high?"
Die Toten vom Bodensee;Graf Filmproduktion GmbH;1635450;315000;;Rowboat Film- und Fernsehproduktion GmbH;ZDF,ORF;90;2013;"Ein explodiertes Fischerboot vor Friedrichshafen und die verkohlte Leiche eines Fischers: Über diese Ereignisse kommen Micha und Hanna zu ihrer ersten internationalen Zusammenarbeit. Was zunächst wie ein Unfall aussieht, entpuppt sich als Mord: Das Opfer wurde erstochen. Führten Familienkonflikte dazu, dass der Fischer getötet und der Familie damit die Lebensgrundlage entzogen wurde? Hanna und Micha stoßen bei ihren Ermittlungen auf eine tragische Geschichte um einen alten Keltenschatz, dessen unheimlicher Reiz das Leben aller involvierten Menschen vergiftet hat.";"A boat explosion in the port of Friedrichshafen and the charred body of a fisherman. This event leads to Micha and Hanna working together across borders for the first time. But what first appears an accident turns out to be murder: the victim was stabbed to death. Was it a family dispute that led to the fisherman's death, so as to leave his family behind without an income? As they investigate, Hanna and Micha stumble on the tragic story surrounding an ancient Celtic treasure, whose dark allure has poisoned the hearts of all those involved."
