Titel;Produzent;Gesamtherstellungskosten (EUR);Fernsehfonds Austria (EUR);Förderinstitutionen;Ko-Produzenten;Fernsehsender;Länge (Min.);Jahr;Beschreibung (de);Beschreibung (en)
Der Anschlag;Interspot Film-Gesellschaft m.b.H.;284381;54835;FFW;;ORF;45;2010;"Es war ein Tag, der Österreich erschütterte. Am 27. Dezember 1985 verübte ein Kommando der damals berüchtigten Terrorgruppe Abu Nidal einen Anschlag auf den El-Al-Schalter am Flughafen Wien-Schwechat. Die blutige Bilanz: Drei Tote, dutzende Verletzte. Der Anschlag rückte die österreichische Nahost-Politik in die öffentliche Diskussion. Die Dokumentation rollt erstmals die geheimen Hintergründe des Flughafen-Attentats auf. Dabei wird 25 Jahre nach den Ereignissen ein dramatischer Wettlauf zur Bekämpfung des Terrors offenbar.";"It was a day that shook Austria. On December 27, 1985 the notorious terrorist group Abu Nidal attacked the El Al desk at Vienna airport, resulting in three deaths and dozens injured. The attack unleashed a public debate on Austria's Middle East policy. The documentary delves for the first time into the covert background of the airport tragedy. We learn how, twenty-five years after the incident, a dramatic race to combat terrorism is transpiring."
Der Ball ist rund;Blackbox Film & Medienproduktion GmbH;252177;40000;FFW,BMUKK;;ORF,WDR;81;2010;"Rund 80 Prozent aller Fußbälle stammen aus der pakistanischen Industriestadt Sialkot. Die handgenähten Bälle aus der Stadt an der indischen Grenze sind für ihre Qualität berühmt. Alle großen Sportartikelkonzerne lassen hier produzieren. Das hat der Region zwar bescheidenen Wohlstand, aber auch Abhängigkeit gebracht. Nun werden maschinengefertigte Bälle aus China und Thailand zu einer heftigen Konkurrenz für Sialkot, und langsam droht die Stadt ihre Lebensgrundlage zu verlieren.";"About eighty percent of all footballs originate in Sialkot, an industrial city in Pakistan. The hand-sewn balls from the city on the Indian border are renowned for their quality. All major sporting goods companies have goods manufactured here. While providing the region with a moderate level of prosperity, this industry has also engendered dependency. Nowadays machinemanufactured footballs from China and Thailand threaten Sialkot's market standing, leading to fears that the city will lose its livelihood."
Der Gruen Effekt;WAILAND FILMPRODUKTION KEG;179768;24000;FFW,BMUKK,Land Vorarlberg;;ORF;54;2009;"Vor 50 Jahren erfand Victor Gruen die Shopping-Mall, das Einkaufszentrum. Wie grundlegend sein Konzept die Welt verändern würde, konnte selbst der als gigantomanisch bekannte Emigrant aus Wien nicht ahnen. Shopping hat sich seither als dominante Kraft unseres Lebens durchgesetzt. Sein historisches Erbe sind jene Zentren, die heute den Konsum als oberstes Prinzip der Stadtplanung akzeptieren. Die TV-Dokumentation von Anette Baldauf und Katharina Weingartner erzählt von Gruens Visionen von einer Stadt als lebendigem Marktplatz und von den fatalen Irrtümern eines überzeugten Sozialisten.";"Victor Gruen invented the shopping mall 50 years ago. The massive impact of his concept on the entire world, however, was completely unclear at that time, even to the emigrant from Vienna himself, who was known for his megalomaniac views. Since then, shopping has come to dominate our contemporary lives. Gruen's historical legacy are shopping centres that accept consumerism as the most important principle of urban development. This TV documentary directed by Anette Baldauf and Katharina Weingartner focuses on Gruen's visions of cities and towns as vibrant marketplaces and on the fatally wrong assumptions of an ardent socialist."
Der Klang Hollywoods ­ Max Steiner und seine Erben;Wega-Filmproduktionsgesellschaft m.b.H.;129878;25940;;;ORF/3sat;43;2009;"Max Steiner gilt als Vater der Filmmusik. Seine Kompositionen schufen maßgeblich den legendären ""Klang Hollywoods"". In Amerika schaffte der Immigrant aus Wien den Durchbruch 1933 mit der Musik für den Horrorfilm ""King Kong"". Er war einer der ersten Filmkomponisten, der symphonische Musik gezielt zur Verstärkung dramaturgischer Effekte in einem Spielfilm einsetzte. Die Dokumentation von Jacob Groll zeigt anhand von bisher u nveröffentlichtem Material die Karriere und ein sehr persönliches Bild von diesem außergewöhnlichen Tonkünstler und schlägt eine Brücke zu Film komponisten von heute.";"Max Steiner is often referred to as the father of film music. His compositions were instrumental in creating the legendary ""sound of Hollywood"". The immigrant from Vienna achieved his big breakthrough in America in 1933 with his soundtrack for the horror film ""King Kong"". As one of the first film composers he deliberately used symphonic music to reinforce dramaturgical effects in motion pictures. This documentary directed by Jacob Groll uses previously unpublished materials to draw a very personal picture of this remarkable composer and his career and builds a bridge to contemporary film composers."
Der letzte Akt;VERMEER-FILM e.U.;147546;29000;FFW;;ARTE,ORF;61;2009;"Das Genre Aktkunst blickt auf über 500 Jahre bewegte Geschichte zurück. Heute, am Beginn des 21. Jahrhunderts, scheint dieses gewaltige Kapitel europäischer Kunstgeschichte seinem Ende zuzugehen. Die Dokumentation wirft ihren filmischen Blick aus der Gegenwart in die Vergangenheit des Genres und auf seine letzten bedeutenden Vertreter und beschäftigt sich mit neuen Strömungen aus Kunst und Werbung, die sich aus der Aktmalerei entwickeln. Für den Film wird eine Frage bestimmend: Ist künstlerische Absicht ohne der voyeuristischen Begehrlichkeit des Blicks der Betrachter überhaupt möglich?";"Nude art has existed for more than 500 years, its history characterised by many events. Today, at the beginning of the 21st century, this major chapter of European art history seems to be coming to a close. This documentary casts light on the history of nude art from our present perspective, features its last important representatives and has a look at new trends in art and advertising that have developed from nude painting. The central theme prevailing in this film is the question of whether artistic intentions are possible without the viewers' voyeuristic passion."
Der Mensch ist des Menschen Medizin ­ Die Renaissance des Paracelsus;Lhotsky Film Gesellschaft m.b.H. & Co KG;130581;25000;FFW,Land Kärnten;;ORF;45;2009;"Was ist vom ganzheitlichen Weltbild des Arztes, Alchemisten, Astrologen, Mystikers und Philosophen Paracelsus in unserem heutigen Medizinsystem übrig geblieben? Die Dokumentation zeigt Menschen, die sich auf Paracelsus berufen und sein ganzheitliches Heilwissen praktisch anwenden: anthroposophische Ärzte, Naturpraktiker, Apotheker und Spagyriker, Vertreter der Astromedizin und Signaturenlehre. ""Der Urgrund der Arznei sei die Liebe"" war Paracelsus` Leitspruch. Und die Sehnsucht des kranken Menschen, ganzheitlich wahrgenommen zu werden, gilt heute ebenso wie vor 500 Jahren.";"What has remained in our modern healthcare system of the holistic views of the physician, alchemist, astrologer, mystic and philosopher Paracelsus? This documentary presents people who share Paracelsus' views and put his holistic therapeutic legacy into practice: anthroposophical physicians, naturopaths, pharmacists and spagyric specialists, representatives of astromedicine and the doctrine of signatures. Paracelsus' motto was ""The art of medicine has its roots in the heart"". After all, the desire of ill people to be perceived in a holistic way applies today as much as it did 500 years ago."
Der Neue ­ Alexander Pereira;Langbein & Partner Media GmbH & Co KG;93274;17500;Land Salzburg;;ORF,ARTE,BR;52;2012;"""Kunst ist die Entwicklungsabteilung der Gesellschaft. Und die künstlerischen Standards dieser Entwicklung werden in Salzburg gesetzt."" Das ist die Überzeugung von Alexander Pereira, dem neuen Intendanten der Salzburger Festspiele, der für fünf Jahre bestellt wurde und am Höhepunkt seiner Karriere angelangt ist. Doch wer ist dieser Mann, der als Schreibmaschinenverkäufer bei Olivetti begann und zuletzt 21 Jahre lang die Zürcher Oper führte? Der Film ist ein Porträt dieses erfahrenen Kulturmanagers mit Gesangsaus bildung, zeigt seine Stärken und Schwächen, seine Geschichte, seine Visionen, seine Träume und wirft dabei gleichzeitig einen Blick hinter die Kulissen des größten Kulturfestivals der Welt.";"""Art is a society's development department. And Salzburg sets the artistic standards for that development."" The view is expressed by Alexander Pereira, the new artistic director of the Salzburg Festival who, appointed for a five-year term, has arrived at the apex of his career. But who is this man, who began as a typewriter salesman with Olivetti and more recently managed the Zurich Opera for 21 years? The film portrays this seasoned cultural manager with classical voice training, and reveals his strengths and weaknesses as well as his visions and dreams, while at the same time takes a look behind the scenes at the world's major cultural festival."
Der taumelnde Kontinent;DOR FILM-Produktionsgesellschaft m.b.H.;710000;142000;FFW;;ZDF,ORF;2x85,3x45;2013;"""Der taumelnde Kontinent"" zeigt die Geschichte Europas zwischen 1900 und 1914 ­ nicht als goldenes Vorspiel zur unvermeidlichen Katastrophe, sondern als eine Zeit von ungeheurer Energie und rasend schnellem Wandel. Industrialisierung und Landflucht schufen neue soziale Realitäten und veränderten Gesellschaften. Metropolen, Massenmedien und gigantische Sportveranstaltungen, Feminismus und Kernphysik, die Relativitätstheorie, abstrakte Kunst, Konsumkultur, die Demokratisierung des Reisens und der Bildung gehören genauso zu dieser Zeit wie die Globalisierung. Innerhalb von weniger als einer Generation hatte sich die Welt radikal geändert.";"""The Vertigo Years"" narrates the history of Europe from 1900 to 1914 ­ not as a golden preface to the inevitable disaster but as period of tremendous energy and breath-taking change. New social realities and a changed society emerged in the wake of industrialisation and the rural exodus. The metropolis, mass media and colossal sports events, feminism and nuclear physics, the theory of relativity, abstract art, consumer culture, and travel and education for the working classes are as much features of the period as globalisation. The world changed radically within less than one generation."
Der Weg in den Untergang;Metafilm GmbH;464382;104500;Land Niederösterreich,FFW,BMUKK;;ORF;52;2013;"""Der Weg in den Untergang"" erzählt mit aufwendigen Reenactments, faszinierenden CGIs und bisher unbekanntem Archivmaterial die Geschichte des Attentats in Sarajewo 1914 und wie es als Anlass für die ""Urkatastrophe"" des 20. Jahrhunderts, den Ersten Weltkrieg, missbraucht wurde. Aus diesem Attentat wurde durch die realitätsferne Eskalationspolitik Österreich-Ungarns gegen das Königreich Serbien im internationalen Kräftespiel der europäischen Großmächte ein Weltkrieg. Österreich-Ungarn führte den Krieg gegen Serbien verantwortungslos den eigenen Soldaten gegenüber und mit schweren Kriegsverbrechen gegen die serbische Zivilbevölkerung.";"Using elaborate re-enactments, fascinating computer imagery and previously unseen archive footage, ""The End of an Empire"" relates the story of the assassination in Sarajevo in 1914 and how the incident served as an excuse to start the First World War, the 20th century's ""great seminal catastrophe"". Against the backdrop of the balance of power among Europe's major states and driven by Austria-Hungary's unrealistic policy of escalation towards the Kingdom of Serbia, the assassination escalated and culminated in a world war. Austria-Hungary's way of waging war against Serbia ignored its responsibility to its own soldiers and resulted in serious war crimes against Serbia's civilian population."
Der Zölibat;Metafilm GmbH;228996;43750;FFW,Land Niederösterreich;;ARTE,ORF;51;2011;"Seit 2000 Jahren spaltet eine Frage die Christenheit: Der Zölibat ­ Gottes Wille oder Menschenwerk? Die Pflicht zu Enthaltsamkeit und Ehelosigkeit von Priestern ist nicht nur eine Frage von Glaube und Religion ­ sondern vor allem von Sex, Moral und Politik. Es ist eine packende Geschichte: Von der Nachfolge Jesu zum Kirchengesetz, vom Reformprogramm zum Machtinstrument und vom Bibelwort zum Spaltpilz der Gesellschaft. Es ist eine Dokumentation über die Ursprünge, die Begründungen und die praktischen Ausformungen des Zölibatsgedankens in der römisch-katholischen Kirche.";"One issue has divided Christendom for 2000 years: is celibacy God's will or human invention? The oath taken by priests to remain chaste and refrain from marriage relates not only to belief and religion ­ but also, and foremost, to sexuality, morality and politics. The film tells an intriguing tale that includes events leading from Christian discipleship to canonical law, from a reform programme to an instrument of power, from a word of scripture to a sword dividing society. This documentary reveals the origins of the Roman Catholic concept of celibacy, the rationale behind it and the concrete ways it is practised within that church."
Die Akte Aluminium;Langbein & Partner Media GmbH & Co KG;307363;61473;FFW;;ZDF,ORF,SRF;52/90;2012;"Aluminium ist ein faszinierendes Metall: leicht, rostfrei und einfach zu verarbeiten. Noch vor hundert Jahren exotisch, ist das Metall heute aus dem Alltag nicht mehr wegzudenken. Der Film porträtiert das Zeitalter des Alumniums und zeigt die Produktion beginnend mit dem Abbau von Bauxit, über die Aluschmelze bis hin zur Endverarbeitung diverser Aluprodukte. Doch auch kritische Stimmen sind zu hören. Für die Herstellung werden große Mengen Rohstoffe und Energie benötigt. Die Gewinnung kann zu Umweltkatastrophen beachtlichen Ausmaßes führen. Und aus Studien geht hervor, dass die toxische Wirkung des Leichtmetalls nicht zuletzt direkten Einfluss auf unsere modernen Zivilisationskrankheiten wie Alzheimer und Allergien hat.";"Aluminium is a fascinating metal: light, rust-free and easy to process. Still rare a hundred years ago, nowadays daily life is unimaginable without aluminium. The film portrays the aluminium era and shows how it is produced, from bauxite mining and aluminium smelting to the manufacturing of various aluminium products. Yet critical opinions are also voiced. Large amounts of raw materials and energy are required for production. Mining can lead to environmental disasters on a substantial scale. And research has revealed that the toxic effects of the lightweight metal play a direct role in contemporary diseases of civilisation such as Alzheimer's and allergies."
Die Ballclique;MAKIDO Filmproduktion GmbH;559911;100000;;;MDR;20x25;2012;"Katja, Sophie, Ellie, Vitus, Andreas, Michael und Marcel sind alle Schüler der traditionsreichen Tanzschule Elmayer. Und Tanzschüler sind am Anfang vor allem eines: Leidensgenossen. Das schweißt zusammen. Da sind einerseits die Benimmregeln, Jeans- und Kaugummiverbot, weiße Handschuhe, die förmliche Aufforderung zum Tanz, vollständig mit Verbeugung und ""Darf ich bitten!"". Manches reizt zum Lachen oder zu Widerstand. Doch die Ballclique lässt sich die Laune nicht verderben. Wann immer sie können, verbringen die Sieben ihre Freizeit auch außerhalb der Tanzschule zusammen. Am meisten aber dreht sich das Cliquenleben um die Zeit vor und bei den Wiener Bällen. Und jeder Ball hat etwas anderes zu bieten, mit dem sie absolutes Neuland betreten.";"Katja, Sophie, Ellie, Vitus, Andreas, Michael and Marcel are all students at the traditional Elmayer's dance school. Initially, dance students are foremost fellow sufferers which gives them a common bond. On the one hand there is the etiquette, the ban on jeans and chewing gum, the white gloves, and the formal invitation to dance, including a bow and ""May I have the pleasure?"" Some might respond with a laugh, or rebel. But not so the `ball clique': they never bat an eyelid. Whenever they can, the seven share their free time, even outside the dance school. But clique life is mostly centred on the weeks before and during Vienna's ball season. And every ball has something different to offer, for them a venture into the unknown."
Die Bergrettung;ON-MEDIA TV- und Filmproduktion GmbH;304885;54720;Cine Tirol,Land Kärnten,Land Vorarlberg;;ATV;8x50;2009;"""Was ist das für ein Land, von dem zwei Drittel seiner Fläche nur von Experten mit spezieller Ausrüstung begangen werden kann!"", sagte Hans Weigel einmal über Österreich. Aufenthalt und Leben in den österreichischen Bergen kann immer wieder lebensgefährlich werden, besonders ohne den großartigen Einsatz der ­ meist ehrenamtlich tätigen ­ Bergretter, die im Mittelpunkt dieser Dokumentarserie stehen. Gezeigt werden typische Einsätze, wodurch Sensibilität für das richtige Verhalten in den Bergen und zugleich Respekt vor den Leistungen der Bergretter sowie vor den Bergen selbst erzeugt wird.";"Hans Weigel once said about Austria, ""What sort of country is this where two-thirds of the total area can be accessed only using special equipment!"" Living and staying in the mountains of Austria can indeed be life-threatening, in particular without the great efforts of the mountain rescue services, staffed mostly by voluntary, unpaid personnel. Their work is the subject of this documentary series. The series features typical incidents requiring mountain rescue services and raises awareness for appropriate conduct in the mountains, while at the same time creating respect for the rescue teams' work and the mountains themselves."
Die Burgenländischen Kroaten;DI Helmut Potutschnig (Artkicks);56903;11381;BMUKK,Land Burgenland;;ORF;6x25;2012;"Die burgenländischen Kroaten sind die zahlenmäßig größte in Österreich anerkannte Volksgruppe. Rund ein Drittel der Volksgruppenangehörigen lebt in Wien. Der zweite Teil der Serie über die sechs anerkannten Volksgruppen in Österreich widmet sich der Geschichte der Burgenlandkroaten, besucht Institutionen in Wien und im Burgenland, Folkloretanzgruppen und Rockkonzerte, Kindergruppen und Seniorenklubs und unterhält sich mit einer Reihe von Interviewpartnern über die Vergangenheit und Zukunft der Volksgruppe.";"In terms of numbers, the Burgenland Croats are the largest of the recognised ethnic groups in Austria. Roughly one third of its members live in Vienna. The second part of the series highlighting Austria's six recognised ethnic groups presents the history of the Burgenland Croats, its institutions in Vienna and Burgenland, as well as folk dance groups and rock concerts, children's groups and clubs for the elderly. Interviews with a number of representatives deal with the ethnic group's past and future."
Die Gentlemen baten zur Kasse;NAVIGATOR FILM PRODUCTION ­ Verein zur Förderung und Durchführung von Filmprojekten & Co KG;602028;65000;Filmstiftung NRW;Lichtblick Film- und Fernsehproduktion GmbH;ARTE,Servus TV;2x90;2012;"Am 8. August 2013 jährte sich der größte Eisenbahnraub aller Zeiten zum 50. Mal. Nicht allein aufgrund der enormen Beute ­ nach heutigem Wert etwa 50 Millionen Euro ­ wurde dieser Coup zum Mythos, auch wegen der Kühnheit und Präzision, mit der er durchgeführt wurde. Bis heute ist der Fall eine offene Wunde bei Scotland Yard. Einer der wichtigsten Drahtzieher wurde nie verhaftet, andere Bandenmitglieder konnten nach Gefängnisausbrüchen abtauchen; der Großteil der Beute wurde nie sichergestellt. Die Geschichte von Ronnie Biggs, dem es gelang, aus dem Hochsicherheitstrakt auszubrechen, und dessen Ehefrau, die ihn einer brasilianischen Nachtclubtänzerin überließ, um seine erneute Inhaftierung zu verhindern, wird von Familienangehörigen erzählt.";"8 August 2013 marked the 50th anniversary of the greatest train robbery of all times. The heist is legendary, not just because of the haul, which equalled roughly 50 million euros in today's money, but also due to the daring and precision with which it was carried out. For Scotland Yard, the case remains an open wound to this day. One of the important masterminds was never caught, other members of the gang went underground after breaking out of prison, and the bulk of the booty was never recovered. The story of Ronnie Biggs is recounted by his relatives. After Biggs escaped from a maximum security prison ward, his wife consented to a divorce, freeing him to marry a night club dancer in Brazil to prevent a further arrest."
Die Lust der Frauen;Nikolaus Geyrhalter Filmproduktion GmbH;123257;24000;FFW,Land Steiermark,Land Oberösterreich,Land Niederösterreich;;ORF;61;2009;"""Die Lust der Frauen"" erzählt vom sexuellen Begehren älterer Frauen. Gezeigt werden vier Frauen mit unterschiedlichen Biografien, Lebensumstän den und Bedürfnissen. Sie erzählen uns, wie sie es geschafft haben, gesell schaftliche Vorstellungen hinter sich zu lassen und so einen entspannten Zugang zu ihrer Weiblichkeit, ihrem Körper und ihrer Sexualität gefunden haben. Unsere Heldinnen kratzen an althergebrachten Rollenbildern und bestärken ältere Frauen, sich nicht alleine mit ihren Sehnsüchten und W ünschen zu fühlen: Frauen jeden Alters können und dürfen ihre sexuellen Träume erfüllen!";"""Dirty old women"" (German title ""Die Lust der Frauen"") gives an account of the sexual desires of women at an advanced age. Four women with different biographies, in different situations and with different needs are interviewed. They tell the story of how they were able to abandon old-fashioned views and do away with conventional expectations of society and embarked on a relaxed approach towards their womanhood, their body and their sexual life. The heroines of this documentary question traditional role models and encourage women at an advanced age not to feel left alone with their desires and wishes. After all, women are able and allowed to make their sexual dreams come true at any age!"
Die Lust der Männer;Nikolaus Geyrhalter Filmproduktion GmbH;119953;23980;FFW,Land Niederösterreich,Land Oberösterreich;;ORF;66;2011;"""Die Lust der Männer"" ist Gegenstück und logische Ergänzung zum Dokumentarfilm ""Die Lust der Frauen"". Fünf sehr unterschiedliche Männer über 60 erzählen von sich und reflektieren darüber, wie sich das Mann-Sein verändert, sobald die Hormone nicht mehr verrücktspielen. Die fünf Männer werden in den Mittelpunkt des Geschehens gerückt, der Film erzählt von Liebeswirren, männlicher Erotik und Sexualität im Alter, von stark verwurzelten Rollen bildern, die älteren Männern im Wege stehen, ihren Erfahrungen mit dem Altern, damit einhergehenden Ängsten und Verlusten ­ aber auch von einer neu entdeckten Sinnlichkeit und frisch erworbenen Freiheiten in fortgeschrittenen Jahren.";"Men's Lust is the counterpart and logical supplement to the documentary Women's Lust. Five very different men over 60 talk about themselves and reflect on how their sense of being a man has changed now that hormones no longer play havoc with them. The film focuses on the five men as they talk about confusing relationships as well as male erotic behaviours and sexuality at an advanced age, the deeply entrenched role models that stand in the way of elderly men, their experience of growing old and the accompanying fears and losses ­ but also about their rediscovery of sensuality and the freedoms attained in later years."
Die Mätressen des Wiener Kongresses;MAKIDO Filmproduktion GmbH;339312;67842;FFW,BMUKK;;ORF,ZDF;45/52;2013;"Wien 1814: Ganz Europa trifft sich zum Wiener Kongress am Verhandlungstisch, um eine neue Ordnung Europas zu erstellen. Doch auch in den Séparées, Ballsälen, Salons und Wiener Palais wird Politik gemacht. Dort sind erstmalig auch Frauen als maßgebliche Meinungsbildnerinnen vor Ort. Damen von Rang und Namen engagieren sich in Ballsaal und Boudoir aus den verschiedensten Beweggründen für die Neuordnung Europas. Aus der Perspektive von drei dieser teilnehmenden Frauen wird die Geschichte des Wiener Kongresses mit all seinem Glamour und seiner Gewichtigkeit neu erzählt.";"Vienna 1814: all of Europe takes a seat at the Congress of Vienna to negotiate a new European order. Yet political deals are also made in the private chambers, ballrooms and palaces of Vienna. Here for the first time women are also present as important opinion leaders. Out of various motives, reputed women of elevated status are active in the ballrooms and boudoirs and committed towards the cause of defining a new European order. The story of the Congress of Vienna, with all its glamour and momentousness, is retold from the viewpoint of three such women who played a part."
Die Notaufnahme / 1. Staffel;ON-MEDIA TV- und Filmproduktion GmbH;231642;18483;;;atv;7x50;2009;"Im Mittelpunkt der TV-Dokumentarserie steht der Berufsstand der Notärzte. Die sieben Folgen gewähren Einblick in den schwierigen und psychisch belastenden Alltag von Notärzten in Österreich. Ob Schlaganfälle, Beinbrüche oder Vergiftungen: von Notärzten erwarten wir, dass sie im akuten Fall sofort und korrekt Erste Hilfe leisten. Sie werden in ihrem realen Alltag, vom ersten Ruf aus der Zentrale bis an den Ort des Geschehens begleitet. Der Zuseher erfährt, wie und nach welchen Kriterien Notärzte arbeiten und wie sie mit der besonderen Herausforderung dieser Tätigkeit umgehen.";"This television documentary casts a spotlight on the jobs of emergency physicians. In seven sequels the audience is provided with insight into the difficult and psychologically challenging daily work of emergency physicians in Austria. Strokes, broken legs or poisoning: we always expect emergency doctors to render first aid in emergencies immediately and correctly. In this documentary they are accompanied during their daily work, from the emergency call to the patient on site. The audience is shown how and according to which standards emergency physicians work and how they cope with the specific challenges of their work."
Die Notaufnahme / 2. Staffel;ON-MEDIA TV- und Filmproduktion GmbH;277038;50000;;;atv;8x50;2010;"Die Ärzte und Ärztinnen, die für den Dienst in der Notaufnahme eingeteilt werden, stehen einer besonderen Aufgabe gegenüber. Oft besteht die erste Anforderung darin, das Überleben der Patienten sicherzustellen, die Vitalfunktionen zu stabilisieren. Im zweiten Schritt müssen jene Fachärzte hinzugeholt werden, die die Patienten brauchen, besonders bei Mehrfach-Verletzungen sind mitunter schwierige Entscheidungen zu treffen. Die Ärzte und Ärztinnen, die den besonderen Stress des Dienstes in der Notaufnahme bewältigen, stehen im Mittelpunkt dieser Dokumentar-Reihe.";"The physicians assigned to emergency admittance face an exceptional task. Frequently their initial mandate is to ensure that patients survive, i.e. to stabilise vital functions. In the second stage they must consult with the specialists required in the particular case, and difficult decisions are sometimes called for, especially in cases of multiple injuries. This documentary series centres on the physicians who tackle the exceptional stress of working in the emergency ward."
Die Notaufnahme / 3. Staffel;ON-Media TV- und Filmproduktion GmbH;241658;45000;;;ATV;7x50;2011;"Bei ambulanten Patienten ist zumeist eine Krankenschwester erste Anlaufstelle für Patienten. Nach der Aufnahme assistiert das Pflegepersonal bei ärztlichen Untersuchungen und führt die vom Arzt veranlassten Maßnahmen durch. Bei Notfällen hingegen besteht die erste Anforderung an den Notfallmediziner meist darin, das Überleben der Patienten sicherzustellen und die Vitalfunktionen zu stabilisieren. Im zweiten Schritt müssen jene Fachärzte hinzugeholt werden, die die Patienten brauchen, besonders bei Mehrfachverletzungen sind mitunter schwierige Entscheidungen zu treffen. Die Ärztinnen, Ärzte, Krankenschwestern und Pfleger, die den besonderen Stress des Dienstes in der Notaufnahme bewältigen, stehen im Mittelpunkt dieser Dokumentarreihe.";"For inpatients, a nurse is usually the first and primary contact when dealing with the hospital. After admission the nursing staff assist doctors during examinations and administer the care prescribed by physicians. During emergencies, in contrast, the first priority of the emergency medical staff is to ensure that patients survive and that their vital functions are stabilised. In the second stage they must consult with the specialists required in the particular case, and difficult decisions are sometimes called for, especially in cases of multiple injuries. This documentary series centres on the physicians and nurses who tackle the exceptional stress of working in the emergency ward."
Die Notaufnahme / 4. Staffel;ON-MEDIA TV- und Filmproduktion GmbH;278010;54000;;;ATV;8x50;2012;"Die vierte Staffel der Notaufnahme schildert den Alltag der Ärzte und des Pflegepersonals auf unterschiedlichen Stationen des LKH Graz und des LKH Innsbruck. Während im LKH Graz vorwiegend Unfälle und Notfälle aus der Umgebung zur Erstversorgung kommen, wird das LKH Innsbruck von Gestürzten und verunfallten Freizeitsportlern aus Skiregionen im Winter und Bergsteigern sowie Kletterern im Sommer angeflogen. In der Erstaufnahme wird beurteilt, wie kritisch der Zustand eines Patienten ist und ob er aufgenommen werden muss. Die Serie sensibilisiert nicht nur für die enormen Leistungen der Ärzte und des Pflegepersonals, sondern auch für alle anderen, die ein reibungsloses Zusammens piel und hochklassige medizinische Versorgung gewährleisten.";"The fourth season of Emergency Ward features the day to day work of physicians and nursing staff at various wards of the Graz and Innsbruck state hospitals. While mostly local people visit the Graz Hospital for first-aid treatment after accidents or emergencies, victims flown to Innsbruck have suffered falls or a ccidents during recreation, i.e. skiers in winter and hikers and climbers in summer. On first admission, a doctor examines the patient to determine how serious the condition is and whether to admit the person as an inpatient. The series raises awareness both for the physicians and nurses who provide tremendous services as well as for all those involved in ensuring smooth, coordinated teamwork and first-class medical care."
Die Notaufnahme / 5. Staffel;ON-MEDIA TV- und Filmproduktion GmbH;217571;41000;;;ATV;6x50;2013;"Die 6-teilige Dokumentar-Reihe ""Notaufnahme ­ Die Babystation"" begleitet werdende Eltern vom Erhalt einer ungünstigen Diagnose für ihr ungeborenes Kind, vom zu frühen Beginn des jungen Lebens oder von einer notwendigen Behandlung kurz nach der Geburt bis hin zum Verlassen des Krankenhauses. Ort der Handlung sind die Stationen Frauenheilkunde, Geburtenstation, Neonatologie und Kinderklinik der Universitätskliniken Salzburg und Innsbruck. Das Hauptaugenmerk liegt in der engen Zusammenarbeit der spezialisierten Klinikmitarbeiter mit den Eltern, die gemeinsam nur ein Ziel verfolgen: ein gesundes und glückliches Baby mit seinen Eltern nach Hause schicken zu können.";"The six-part documentary ""Emergency Room ­ Paediatric Ward"" follows expectant parents from when they learn of their unborn child's unfavourable diagnosis, from the premature birth of the child or from critical post-natal treatment, until the family finally leaves the hospital. The events are depicted from the gynaecology wards, delivery rooms, neonatology wards and paediatric clinics of the Salzburg and Innsbruck university hospitals. The documentary centres on the close joint efforts between hospital specialists and the parents, with the single common goal of allowing a happy and healthy infant to accompany its parents home."
Die Rückkehr des Wiedehopfs;Kubefilm GmbH;294999;55000;Marktgemeinde Grafenegg,Land Niederösterreich;;ORF;45;2010;"Die ""Universum"" Produktion zeichnet ein unverfälschtes und authentisches Bild einer einzigartigen Region und der reichen Manifestation einer weitgehend intakten Natur. Dem Verlauf der Jahreszeiten folgend, erleben wir das Schicksal von Pflanze, Tier und Mensch in einer Region, deren Geheimnisse nur darauf warten, entdeckt und vorgestellt zu werden. Der ""Tourguide"" dieser Reise durch eine Region unbekannter Schönheit ist der prominenteste tierische Bewohner des Wagrams, der Wiedehopf.";"This production in the ""Universum"" series presents an unaltered, authentic portrait of a unique region and of the rich manifestations in the largely untouched natural surroundings. Following the cycle of the seasons, we learn how plants, animals and human beings cohabit a region that conceals secrets waiting to be unearthed and discovered. The ""tour guide"" on this expedition through a realm of unanticipated beauty is the hoopoe, the most prominent wildlife species inhabiting the Wagram region."
Die Spanische Hofreitschule ­ Eleganz mit Tradition;Rilk Film E.U.;74732;9732;FFW,CINESTYRIA;;Servus TV;2x25;2010;"Die zweiteilige Dokumentation wirft einen Blick hinter die Kulissen der Spanischen Hofreitschule. Das Porträt eines Wiener Wahrzeichens: Von der Geburt und der Aufzucht der ältesten Pferdzuchtrasse der Welt auf dem ländlichen Gestüt in Piber, der täglichen mühsamen Arbeit in den Stallungen mitten im Herzen der Wiener Innenstadt, dem harten Training bis zur Vollendung der hohen Schule der Reitkunst.";"The two-part documentary offers a view behind the scenes of the Spanish Riding School, a trademark of Vienna. Features include the birth of foals at the stud farm in Piber, where the world's oldest breed of horses is raised, the drudgery of daily work at the stables in the heart of Vienna's inner city, and the demanding training required to achieve superior riding skills."
