Organisation,Sitz,Gesetzliche Grundlage ihrer Errichtung,Zahl der überwiegend als Interessenvertreter tätigen Personen,Bestätigte geschätzte Kosten der Interessenvertretung in ,Jahr,Webseite
Landesgremium der Tabaktrafikanten,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"9025,95",2014,http://wko.at/vlbg/tabaktrafikanten
Landesinnung der Gärtner und Floristen,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"9025,95",2014,https://www.wko.at/Content.Node/branchen/vbg/Gaertner-und-Floristen/Startseite-Gaertner-und-Floristen.html
"Landesgremium des Handels mit Arzneimitteln, Dorgerie- und Parfümeriewaren sowie Chemikalien und Farben","Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"9048,1",2014,https://www.wko.at/content.Node/branchen/k/Handel-mit-Arzneimitteln--Drogerie--und-Parfuemeriewaren-sowie-Chemikalien-und-Farben/Startseite_-
Fachgruppe der Immobilien- und Vermögenstreuhänder,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"9095,31",2014,https://www.evolutionwko.at/Content.Node/branchen/b/sparte_iuc/Immobilien--und-Vermoegenstreuhaender/Startseite---Immobilien-Vermoegenstreuhaender-Fachgruppe.html
Landesinnung Holzbau,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,9197,2014,http://www.holzbaumeister-.at
"Fachgruppe der Kino-, Kultur- und Vergnügungsbetriebe","Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"9255,75",2014,http://wko.at//tourismus/vergnuegung
"Landesinnung der Elektro-, Gebäude-, Alarm- und Kommunikationstechniker","Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"9318,34",2014,https://www.wko.at/content.Node/branchen/b/Elektro-Gebaeude-Alarm-und-Kommunikationstechniker/Startseite-Elektro-Gebaeude-Alarm-Kommunikationstechniker.html
Fachgruppe Druck,"Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"9331,76",2014,https://www.wko.at/Content.Node/branchen/stmk/sparte_iuc/Druck/Startseite---Druck--Fachgruppe.html
Fachgruppe der Versicherungsmakler und Berater in Versicherungsangelegenheiten,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"9453,08",2014,http://wko.at/bgld/versicherungsmakler
Landesinnung Holzbau,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"9498,21",2014,http://wko.at//holzbau
"Landesgremium des Handels mit Arzneimitteln, Dorgerie- und Parfümeriewaren sowie Chemikalien und Farben","Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"9553,4",2014,http://wko.at/vlbg/303
Landesinnung der Mode und Bekleidungstechnik,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"9553,4",2014,https://www.wko.at/content.Node/branchen/vbg/Mode-und-Bekleidungstechnik/Startseite-Mode-und-Bekleidungstechnik.html
"Landesgremium des Markt-, Straßen- und Wanderhandel","Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"9581,01",2014,"https://www.wko.at/Content.Node/branchen/t/Markt---Strassen--und-Wanderhandel/Startseite_-_Markt-,_Strassen-_und_Wanderhandel,_Landesgrem.html"
"Landesinnung der Dachdecker, Glaser und Spengler","Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"9591,79",2014,http://wko.at//dgs
Fachgruppe der Reisebüros,"Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"9647,63",2014,http://wko.at/stmk/reisebueros
"Landesgremium des Markt-, Straßen- und Wanderhandel","Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"9715,67",2014,http://wko.at/stmk/msw
Landesgremium des Agrarhandels,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"9723,17",2014,http://wko.at//agrar
Fachgruppe der Buch- und Medienwirtschaft,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,9746,2014,https://www.wko.at/content.Node/branchen/t/sparte_iuc/Buch--und-Medienwirtschaft/Startseite---Buch--und-Medienwirtschaft--Fachgruppe.html
Landesinnung der Kunsthandwerke,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,9784,2014,http://www.schmuckland-.at
Fachgruppe der Holzindustrie,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"9793,85",2014,https://www.wko.at/content.Node/branchen/k/Holzindustrie/Startseite---Holzindustrie--Fachverband.html
Fachgruppe für das Güterbeförderungsgewerbe,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10016,72",2014,"https://www.wko.at/content.Node/branchen/k/TransportVerkehr/Gueterbefoerderungsgewerbe/Startseite_-_Gueterbefoerderungsgewerbe,_Fachgruppe.html"
Fachgruppe für die Beförderungsgewerbe mit Personenkraftwagen,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10016,72",2014,https://www.wko.at/content.Node/branchen/k/TransportVerkehr/Befoerderungsgewerbe-mit-Personenkraftwagen/Startseite_-_Befoerderungsgewerbe_mit_Personenkraftwagen.html
"Landesinnung der Chemische Gewerbe u.Denkmal-,Fassaden- u.Gebäudereiniger","Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10016,72",2014,https://www.wko.at/content.Node/branchen/k/Chemische-Gewerbe-und-der-Denkmal-Fassaden-und-Gebaeudereiniger/Startseite-Chemische-Gewerbe-Denkmal-Fassaden.html
Landesinnung der Rauchfangkehrer,"Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10036,4",2014,https://www.wko.at/content.Node/branchen/stmk/Rauchfangkehrer-und-Bestatter/Startseite-Rauchfangkehrer-und-Bestatter.html
"Fachgruppe der Autobus-, Luftfahrt- und Schifffahrtunternehmungen","Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10080,86",2014,"https://www.wko.at/Content.Node/branchen/vbg/TransportVerkehr/Autobus-Luftfahrt-und-Schifffahrtunternehmungen-Fachverband/Startseite_-_Autobus-,_Luftfahrt-"
Landesgremium der Handelsagenten,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10080,86",2014,"https://www.wko.at/content.Node/branchen/vbg/Handelsagenten/Startseite_-_Handelsagenten,_Fachgruppe.html"
Fachgruppe der Buch- und Medienwirtschaft,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,10121,2014,http://wko.at/sbg/medienwirtschaft
Fachgruppe Ingenieurbüros,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10239,1",2014,https://www.wko.at/content.Node/branchen/b/sparte_iuc/Ingenieurbueros/Startseite---Ingenieurbueros--Fachgruppe.html
Fachgruppe des Energiehandels,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10259,08",2014,"https://www.wko.at/content.Node/branchen/b/Energiehandel/Startseite_-_Energiehandel,_Landesgremium.html"
"Landesgremium des Markt-, Straßen- und Wanderhandel","Hessenplatz 3, 4020 Linz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10259,08",2014,http://wko.at/ooe/markthandel
Fachgruppe der Seilbahnen,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10284,48",2014,http://wko.at//seilbahn
Landesinnung der Berufsfotografen,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,10304,2014,https://www.wko.at/Content.Node/branchen/sbg/Berufsfotografen/Startseite-Berufsfotografen.html
Fachgruppe der Gesundheitsbetriebe,"Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10352,28",2014,http://wko.at/stmk/gesundheitsbetriebe
Landesinnung der Friseure,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10393,41",2014,https://www.wko.at/content.Node/branchen/k/Friseure/Startseite-Friseure.html
Landesinnung der Lebensmittelgewerbe,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10393,41",2014,https://www.wko.at/content.Node/branchen/k/Lebensmittelgewerbe/Startseite-Lebensmittelgewerbe.html
Landesinnung der Mode und Bekleidungstechnik,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10425,25",2014,http://www.wko.at/mode
"Fachgruppe der Autobus-, Luftfahrt- und Schifffahrtunternehmungen","Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10433,1",2014,http://wko.at//autobus
Fachgruppe der Immobilien- und Vermögenstreuhänder,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10447,22",2014,https://www.wko.at/content.Node/branchen/k/sparte_iuc/Immobilien--und-Vermoegenstreuhaender/Startseite---Immobilien-Vermoegenstreuhaender-Fachgruppe.html
Landesgremium des Energiehandels,"Schwarzenbergplatz 14, 1041 Wien","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10506,31",2014,http://www.wko.at/wien/energiehandel
Fachgruppe der Buch- und Medienwirtschaft,"Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10546,66",2014,http://www.buchwirtschaft.at/
Fachgruppe Druck,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10569,54",2014,https://www.wko.at/content.Node/branchen/t/sparte_iuc/Druck/Startseite---Druck--Fachgruppe.html
Landesgremium der Versicherungsagenten,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10575,96",2014,"https://www.wko.at/content.Node/branchen/b/Versicherungsagenten/Startseite_-_Versicherungsagenten,_Landesgremium.html"
Fachgruppe der Immobilien- und Vermögenstreuhänder,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10608,31",2014,https://www.wko.at/content.Node/branchen/vbg/sparte_iuc/Immobilien--und-Vermoegenstreuhaender/Startseite---Immobilien-Vermoegenstreuhaender-Fachgruppe.html
"Landesinnung der Chemische Gewerbe u.Denkmal-,Fassaden- u.Gebäudereiniger","Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10608,31",2014,https://www.wko.at/Content.Node/branchen/vbg/Chemische-Gewerbe-und-der-Denkmal-Fassaden-und-Gebaeudereiniger/Startseite-Chemische-Gewerbe-Denkmal-Fassaden.html
"Landesinnung der Dachdecker, Glaser und Spengler","Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,10630,2014,http://www.dachdecker-.at
Landesinnung der Gärtner und Floristen,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,10630,2014,https://www.wko.at/Content.Node/branchen/sbg/Gaertner-und-Floristen/Startseite-Gaertner-und-Floristen.html
"Landesgremium des Juwelen-,Uhren-,Kunst-,Antiquitäten- und Briefmarkenhandels","Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10634,13",2014,http://wko.at/stmk/312
Fachgruppe der Reisebüros,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,10746,2014,https://www.wko.at/content.Node/branchen/sbg/Reisebueros/Startseite---Reisebueros--Fachgruppe.html
Fachgruppe der chemischen Industrie,"Landsbergerstraße 1, 3100 St. Pölten","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10890,21",2014,http://wko.at/noe/chemische-industrie
Landesinnung der Bestatter,"Landsbergerstraße 1, 3100 St. Pölten","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10939,8",2014,http://wko.at/noe/bestatter
Fachgruppe Hotellerie,"Hessenplatz 3, 4020 Linz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10990,25",2014,http://wko.at/ooe/hotellerie
Landesgremium des Außenhandels,"Hessenplatz 3, 4020 Linz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10990,25",2014,http://wko.at/ooe/aussenhandel
"Landesgremium des Juwelen-,Uhren-,Kunst-,Antiquitäten- und Briefmarkenhandels","Hessenplatz 3, 4020 Linz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10990,25",2014,"https://www.wko.at/content.Node/branchen/ooe/Juwelen---Uhren---Kunst---Antiquitaeten--und-Briefmarkenhandel/Startseite_-_Juwelen-,_Uhren-,_Kunst-,_Antiquitaeten-_und_B.html"
Landesgremium des Papier- und Spielwarenhandels,"Hessenplatz 3, 4020 Linz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10990,25",2014,http://wko.at/ooe/spielwarenhandel
Landesinnung der Berufsfotografen,"Hessenplatz 3, 4020 Linz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10990,25",2014,http://wko.at/ooe/fotografen
"Landesinnung der Hafner, Platten- und Fliesenleger und Keramiker","Hessenplatz 3, 4020 Linz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"10990,25",2014,https://www.wko.at/Content.Node/branchen/ooe/Hafner--Platten--und-Fliesenleger-und-Keramiker/Startseite-Hafner-Platten-Fliesenleger-und-Keramiker.html
Landesgremium der Tabaktrafikanten,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,11019,2014,"https://www.wko.at/content.Node/branchen/sbg/Tabaktrafikanten/Startseite_-_Tabaktrafikanten,_Landesgremium.html"
Fachgruppe der Stein- und keramischen Industrie,"Landsbergerstraße 1, 3100 St. Pölten","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"11113,11",2014,http://wko.at/noe/steinundkeramik
Fachgruppe Finanzdienstleister,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"11135,76",2014,http://www.er-finanzdienstleister.at
"Landesgremium des Markt-, Straßen- und Wanderhandel","Landsbergerstraße 1, 3100 St. Pölten","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"11138,15",2014,"https://www.wko.at/content.Node/branchen/noe/Markt---Strassen--und-Wanderhandel/Startseite_-_Markt-,_Strassen-_und_Wanderhandel,_Landesgrem.html"
Fachgruppe der Spediteure,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,11184,2014,"https://www.wko.at/content.Node/branchen/sbg/TransportVerkehr/Spediteure/Startseite_-_Spediteure,_Fachgruppe.html"
Landesgremium der Handelsagenten,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"11308,22",2014,"https://www.wko.at/Content.Node/branchen/k/Handelsagenten/Startseite_-_Handelsagenten,_Landesgremium.html"
Landesinnung der Metalltechniker,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"11361,98",2014,https://www.wko.at/content.Node/branchen/b/Metalltechniker/Startseite-Metalltechniker.html
Fachgruppe der Reisebüros,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"11415,85",2014,https://www.wko.at/content.Node/branchen/k/Reisebueros/Startseite---Reisebueros--Fachgruppe.html
"Landesinnung der Hafner, Platten- und Fliesenleger und Keramiker","Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"11457,84",2014,http://www.kachelofen.st/
"Fachgruppe der Garagen-, Tankstellen- und Servicestationsunternehmungen","Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,11556,2014,"https://www.wko.at/content.Node/branchen/sbg/TransportVerkehr/Garagen---Tankstellen--und-Servicestationsunternehmungen/Startseite_-_Garagen-,_Tankstellen-"
Fachgruppe der Spediteure,"Landsbergerstraße 1, 3100 St. Pölten","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"11651,13",2014,http://wko.at/noe/spediteure
Landesinnung der Maler und Tapezierer,"Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"11663,22",2014,https://www.wko.at/content.Node/branchen/vbg/Maler-und-Tapezierer/Startseite-Maler-und-Tapezierer.html
Landesgremium des Weinhandels,"Landsbergerstraße 1, 3100 St. Pölten","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"11683,6",2014,http://wko.at/noe/wein-spirituosen
Landesgremium der Versicherungsagenten,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"11684,91",2014,"https://www.wko.at/content.Node/branchen/k/Versicherungsagenten/Startseite_-_Versicherungsagenten,_Landesgremium.html"
"Fachgruppe der Garagen-, Tankstellen- und Servicestationsunternehmungen","Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"11698,84",2014,"https://www.wko.at/content.Node/branchen/b/TransportVerkehr/Garagen---Tankstellen--und-Servicestationsunternehmungen/Startseite_-_Garagen-,_Tankstellen-"
"Landesgremium des Handels mit Arzneimitteln, Dorgerie- und Parfümeriewaren sowie Chemikalien und Farben","Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,11718,2014,https://www.wko.at/Content.Node/branchen/sbg/Handel-mit-Arzneimitteln--Drogerie--und-Parfuemeriewaren-sowie-Chemikalien-und-Farben/Startseite_-
Landesinnung der Bestatter,"Hessenplatz 3, 4020 Linz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"11721,43",2014,http://wko.at/ooe/bestatter
Landesgremium des Papier- und Spielwarenhandels,"Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"11880,62",2014,http://wko.at/stmk/310
"Landesgremium des Juwelen-,Uhren-,Kunst-,Antiquitäten- und Briefmarkenhandels","Landsbergerstraße 1, 3100 St. Pölten","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"11881,95",2014,http://wko.at/noe/juwelen-uhren-kunst
Fachgruppe der Holzindustrie,"Landsbergerstraße 1, 3100 St. Pölten","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"11933,3",2014,https://www.wko.at/Content.Node/branchen/noe/Holzindustrie/Startseite---Holzindustrie--Fachverband.html
"Landesgremium des Handels mit Arzneimitteln, Dorgerie- und Parfümeriewaren sowie Chemikalien und Farben","Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"11979,56",2014,https://www.wko.at/content.Node/branchen/b/Handel-mit-Arzneimitteln--Drogerie--und-Parfuemeriewaren-sowie-Chemikalien-und-Farben/Startseite_-
Landesgremium der Tabaktrafikanten,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"12007,78",2014,"https://www.wko.at/content.Node/branchen/k/Tabaktrafikanten/Startseite_-_Tabaktrafikanten,_Landesgremium.html"
"Landesinnung der Sanitär-, Heizungs- und Lüftungstechniker","Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"12099,47",2014,http://wko.at//sanitaer
Fachgruppe Hotellerie,"Landsbergerstraße 1, 3100 St. Pölten","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"12105,09",2014,http://wko.at/noe/hotellerie
Landesinnung der Maler und Tapezierer,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,12160,2014,http://www.wko.at/sbg/maler-tapezierer
Landesinnung der Mechatroniker,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"12177,84",2014,http://wko.at//mechatroniker
Landesinnung der Kunsthandwerke,"Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"12186,78",2014,http://wko.at/stmk/kunsthandwerke
"Landesgremium des Versand-, Internet- und allgemeinen Handels","Wichnergasse 9, 6800 Feldkirch","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"12190,67",2014,"https://www.wko.at/Content.Node/branchen/vbg/Versand---Internet--und-allgemeiner-Handel/Startseite_-_Versand-,_Internet-_und_allgemeiner_Handel,_Fa.html"
Landesgremium der Versicherungsagenten,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,12232,2014,"https://www.wko.at/content.Node/branchen/sbg/Versicherungsagenten/Startseite_-_Versicherungsagenten,_Landesgremium.html"
Landesgremium des Fahrzeughandels,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,12232,2014,"https://www.wko.at/Content.Node/branchen/sbg/Fahrzeughandel/Startseite_-_Fahrzeughandel,_Landesgremium.html"
Landesinnung der Gesundheitsberufe,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"12244,41",2014,http://wko.at//gesundheit
Fachgruppe Ingenieurbüros,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,12252,2014,http://wko.at/sbg/ingenieurbueros
Fachgruppe der Gesundheitsbetriebe,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,12322,2014,https://www.wko.at/content.Node/branchen/sbg/Gesundheitsbetriebe/Startseite---Gesundheitsbetriebe--Fachgruppe.html
Landesinnung der Mode und Bekleidungstechnik,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,12357,2014,http://ertextilmanufakturen.at
Landesinnung der Berufsfotografen,"Körblergasse 111-113, 8010 Graz","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"12405,46",2014,http://wko.at/stmk/fotografen
